province,district,total_loss,mean_loss,max_loss,std_loss,trend_slope,pct_recent,mean_loss_scaled,max_loss_scaled,std_loss_scaled,trend_slope_scaled,pct_recent_scaled
Aceh,Aceh Barat,75214.5920154916,3008.583680619664,6502.938359406206,1653.9311341069742,85.67723186840223,44.268585648881256,-0.16165805030595373,-0.23337173055362112,-0.17747466549317484,0.46231055106505153,-0.09281710302047835
Aceh,Aceh Barat Daya,34174.823089093865,1366.9929235637546,7361.221654628653,1387.9321850024542,-11.770692239992275,34.43330821949583,-0.4360470323005334,-0.18288337332136295,-0.24583233313359096,-0.005850859238685368,-0.8591626376650555
Aceh,Aceh Besar,24288.740623818307,971.5496249527323,2241.289721854456,617.0129237169776,40.02582267444341,54.313160531509766,-0.5021446779385086,-0.48406242907795116,-0.4439468099687637,0.24299107036658418,0.6898364788405503
Aceh,Aceh Jaya,61741.71884183183,2469.6687536732734,4978.30362184902,1204.214226133254,61.92579378098737,47.756597023308586,-0.2517367240258906,-0.3230580890170547,-0.2930450428613341,0.34820338199516515,0.178961904818745
Aceh,Aceh Selatan,49234.247734291814,1969.3699093716725,4324.427557067588,1201.8482979751254,116.59096241787626,57.09264935145026,-0.3353607880570367,-0.36152222845454873,-0.2936530502660209,0.6108269594360818,0.9064087983352557
Aceh,Aceh Singkil,75113.28148237772,3004.5312592951086,9718.506750529888,2162.8704869860185,-121.14375542092377,23.563521088488777,-0.16233540533922164,-0.0442165104304879,-0.04668502421694549,-0.531303278841472,-1.7061151400414787
Aceh,Aceh Tamiang,58485.9120629899,2339.4364825195958,4290.108293057228,1004.0346699175535,70.58471980788394,48.97259255317391,-0.27350481704853097,-0.36354105285780614,-0.34448813170911,0.38980278041804467,0.27370989247345495
Aceh,Aceh Tengah,42744.7187301861,1709.788749207444,4685.784412072841,1193.1546635257828,107.82768066872646,69.13876736517457,-0.37874931834467934,-0.34026547781593586,-0.29588718155216337,0.568726213010663,1.8450186968255387
Aceh,Aceh Tenggara,30517.432056610454,1220.6972822644182,4295.9698408218,869.1995417585655,-7.6291322234436665,35.87188033249037,-0.46050008913813467,-0.3631962483869292,-0.37913870047253523,0.014046112358659718,-0.7470719190276993
Aceh,Aceh Timur,101812.78645091566,4072.5114580366267,10245.26891445576,2832.307459441506,203.15327918367925,55.43882584015609,0.01617558972059861,-0.013229822868505383,0.12535005420487758,1.026691501108203,0.7775461127557093
Aceh,Aceh Utara,64435.92452929741,2577.436981171896,5371.670319821567,1629.6725815918594,182.26165641088085,67.54811727289656,-0.23372345603713798,-0.29991836524395665,-0.1837087430180985,0.9263235182051744,1.7210783602004427
Aceh,Banda Aceh,53.68271968409285,2.5563199849568026,22.59138128752764,4.948478627975221,-0.23584287596755224,11.412075069823176,-0.6641101893589751,-0.6145769515353978,-0.6012380250384505,0.04956511185882299,-2.6529319901748964
Aceh,Bener Meriah,24497.588178862286,979.9035271544915,3170.5028480761302,720.4843577939357,68.27732941012854,68.0088725312815,-0.5007483380097105,-0.4294016375622265,-0.4173562316047466,0.37871756590354266,1.7569795065953917
Aceh,Bireuen,28739.07416681498,1149.562966672599,4040.914330867172,1027.9880295600522,92.98988232538309,63.41340069523397,-0.47239006375953524,-0.3781998419233822,-0.338332484091608,0.4974421434752742,1.3989093508295873
Aceh,Gayo Lues,33392.81822576672,1335.712729030669,2945.348458310752,732.3690190202583,38.84097192602033,54.826293982943916,-0.4412754613091852,-0.44264630319438153,-0.41430205516960333,0.23729878494894743,0.7298188313472953
Aceh,Langsa,5070.906636124242,202.83626544496968,629.5615648025121,190.37773664675774,4.7380752013098375,50.79476599697572,-0.6306337518775285,-0.5788720419499311,-0.5535855375638618,0.07346091593160406,0.4156900747338251
Aceh,Lhokseumawe,679.1718075315931,27.166872301263723,70.49954753704677,20.53666782700416,2.041198052742928,67.25720245786015,-0.659996579211397,-0.6117587624532939,-0.5972320984738142,0.06050452080219522,1.6984108481688027
Aceh,Nagan Raya,103377.69843704016,4135.107937481606,11472.990387042264,2794.463591104385,70.62723429434718,39.86843373790256,0.02663848018067667,0.058990667306124164,0.1156247579857557,0.3900070294271752,-0.43566831316138344
