cluster,total_loss,mean_loss,max_loss,std_loss,trend_slope,pct_recent,label,n_wilayah
0,900615.1150352678,36024.60460141071,67788.13786163494,13473.428979362923,455.96339273071186,46.18651851248567,Sedang – Stabil,8
1,3901812.398044713,156072.4959217885,358355.7977052345,80241.77313904525,-2620.375952819633,34.42629432605087,Tinggi – Menurun,2
