cluster,total_loss,mean_loss,max_loss,std_loss,trend_slope,pct_recent,label,n_wilayah
0,52735.81651561066,2109.4369795426023,5023.676029286859,1105.5767775199156,29.239772222200855,47.127567180355136,Sedang – Stabil,133
1,444140.6240464342,17765.624961857367,50713.71702786243,11499.060254778338,-304.57598255768823,33.1368553590518,Tinggi – Menurun,18
